timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2
19963, 0.0032092048786580563, 0.0018592756241559982, 0.004386387765407562, 0.0007159836823120713, 126807.03125, 157431.4375, 97255.9609375, 117364.7265625, 142181.984375, 103876.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1296524554491043, 379.0, 0.0, 0.0, 0.0
19983, 0.0032174154184758663, 0.0022510772105306387, 0.004347633104771376, 0.0025947708636522293, 126802.5625, 157429.484375, 97254.703125, 117359.0390625, 142181.5, 103876.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13227523863315582, 379.0, 0.0, 0.0, 0.0
20003, 0.0028242385014891624, 0.002241122303530574, 0.002703574486076832, 0.002809347817674279, 126807.03125, 157431.4375, 97257.21875, 117355.3359375, 142175.109375, 103885.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12939104437828064, 379.0, 0.0, 0.0, 0.0
20023, 0.002794172614812851, 0.0018394972430542111, 0.002543090842664242, 0.0013571568997576833, 126808.6328125, 157427.53125, 97250.6484375, 117364.7265625, 142181.984375, 103875.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12919892370700836, 377.0, 0.0, 0.0, 0.0
20043, 0.0027609041426330805, 0.0028961673378944397, 0.0025440838653594255, 0.006200350821018219, 126798.0859375, 157431.4375, 97261.2734375, 117364.0625, 142190.671875, 103877.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1326005905866623, 377.0, 0.0, 0.0, 0.0
20063, 0.0027510542422533035, 0.002190737286582589, 0.0023840339854359627, 0.002972855931147933, 126798.71875, 157429.484375, 97253.9375, 117366.90625, 142181.984375, 103883.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13411395251750946, 377.0, 0.0, 0.0, 0.0
20083, 0.0031576859764754772, 0.0018455899553373456, 0.004202685784548521, 0.0008897380903363228, 126808.0078125, 157429.484375, 97255.9609375, 117366.2421875, 142181.5, 103874.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13366268575191498, 372.0, 0.0, 0.0, 0.0
20103, 0.0027769035659730434, 0.002234602579846978, 0.002311898395419121, 0.002839706838130951, 126803.53125, 157429.484375, 97257.984375, 117366.90625, 142181.5, 103877.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13325470685958862, 372.0, 0.0, 0.0, 0.0
20123, 0.003083433024585247, 0.002186737721785903, 0.0036024712026119232, 0.0025324136950075626, 126808.6328125, 157431.4375, 97255.9609375, 117370.609375, 142185.125, 103881.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13151320815086365, 372.0, 0.0, 0.0, 0.0
20143, 0.002739767776802182, 0.0022007327061146498, 0.002200683578848839, 0.0026620328426361084, 126799.6875, 157429.484375, 97255.9609375, 117368.4296875, 142175.59375, 103876.2265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13191837072372437, 379.0, 0.0, 0.0, 0.0
20163, 0.0031055686995387077, 0.0018615479348227382, 0.0036779590882360935, 0.001192194176837802, 126803.1875, 157429.484375, 97253.9375, 117368.4296875, 142181.984375, 103878.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1321069747209549, 379.0, 0.0, 0.0, 0.0
20183, 0.001671638572588563, 0.0018463783198967576, -0.00294480100274086, 0.0008501546690240502, 126804.1640625, 157433.40625, 97250.6484375, 117372.1328125, 142176.921875, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13266879320144653, 379.0, 0.0, 0.0, 0.0
20203, 0.0030239990446716547, 0.002149636158719659, 0.00326628633774817, 0.0024291062727570534, 126798.0859375, 157425.5625, 97251.90625, 117370.609375, 142171.015625, 103885.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13086870312690735, 376.0, 0.0, 0.0, 0.0
20223, 0.0030917234253138304, 0.002206760924309492, 0.0036187435034662485, 0.0028758724220097065, 126805.4296875, 157433.40625, 97254.703125, 117373.65625, 142179.703125, 103877.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13284741342067719, 376.0, 0.0, 0.0, 0.0
20243, 0.003054123604670167, 0.0018437642138451338, 0.003842978971078992, 0.0008125310996547341, 126800.3203125, 157429.484375, 97253.1640625, 117370.609375, 142180.171875, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13215698301792145, 376.0, 0.0, 0.0, 0.0
20263, 0.0030933842062950134, 0.0018534203991293907, 0.004009195603430271, 0.0011186950141564012, 126805.4296875, 157429.484375, 97253.4453125, 117378.6796875, 142185.609375, 103877.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13184790313243866, 381.0, 0.0, 0.0, 0.0
20283, 0.003060294082388282, 0.0018499658908694983, 0.0041245827451348305, 0.001424380112439394, 126808.6328125, 157427.53125, 97251.140625, 117366.90625, 142181.984375, 103891.4375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13251903653144836, 381.0, 0.0, 0.0, 0.0
20303, 0.003112164791673422, 0.0018632386345416307, 0.00444412836804986, 0.0015452648513019085, 126800.6640625, 157429.484375, 97249.8828125, 117375.6328125, 142177.890625, 103888.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13309241831302643, 372.0, 0.0, 0.0, 0.0
20323, 0.0030696485191583633, 0.0018447578186169267, 0.004158062394708395, 0.001431151176802814, 126797.453125, 157427.53125, 97251.421875, 117383.046875, 142177.890625, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12981903553009033, 372.0, 0.0, 0.0, 0.0
20343, 0.00302101974375546, 0.0018204052466899157, 0.00417525228112936, 0.0015965286875143647, 126800.953125, 157427.53125, 97250.6484375, 117378.6796875, 142184.28125, 103885.9140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13326306641101837, 372.0, 0.0, 0.0, 0.0
20363, 0.0026538276579231024, 0.0020840782672166824, 0.002888960763812065, 0.002969276625663042, 126800.3203125, 157429.484375, 97250.6484375, 117375.6328125, 142179.703125, 103884.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13369892537593842, 373.0, 0.0, 0.0, 0.0
20383, 0.0029024523682892323, 0.0017677050782367587, 0.004147843923419714, 0.0014238146832212806, 126796.484375, 157427.53125, 97246.6015625, 117382.1796875, 142181.984375, 103880.390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1315421164035797, 373.0, 0.0, 0.0, 0.0
20403, 0.0025825730990618467, 0.0020152709912508726, 0.0031727533787488937, 0.002852515783160925, 126809.265625, 157427.53125, 97246.6015625, 117378.4765625, 142174.640625, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13047347962856293, 373.0, 0.0, 0.0, 0.0
20423, 0.0025719215627759695, 0.001746151247061789, 0.002995602320879698, 0.0017181908478960395, 126802.5625, 157433.40625, 97249.109375, 117387.40625, 142179.21875, 103879.6640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12732839584350586, 374.0, 0.0, 0.0, 0.0
20443, 0.002872242359444499, 0.0020308862440288067, 0.004288151860237122, 0.0029553358908742666, 126802.5625, 157429.484375, 97251.90625, 117383.703125, 142181.984375, 103877.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.128312885761261, 374.0, 0.0, 0.0, 0.0
20463, 0.0028445329517126083, 0.0017613257514312863, 0.0038561117835342884, 0.0011180515866726637, 126800.3203125, 157429.484375, 97249.8828125, 117383.703125, 142172.828125, 103878.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13133446872234344, 374.0, 0.0, 0.0, 0.0
20483, 0.002867185277864337, 0.002037897938862443, 0.0035446586553007364, 0.0023952615447342396, 126801.9296875, 157425.5625, 97245.828125, 117382.1796875, 142177.40625, 103882.4765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12968814373016357, 380.0, 0.0, 0.0, 0.0
20503, 0.0028670490719377995, 0.0017735993023961782, 0.003674642415717244, 0.0009816383244469762, 126800.3203125, 157429.484375, 97246.6015625, 117380.0, 142179.21875, 103878.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1280515044927597, 380.0, 0.0, 0.0, 0.0
20523, 0.0029015978798270226, 0.0020454642362892628, 0.003699648892506957, 0.002013613935559988, 126793.2734375, 157429.484375, 97244.5703125, 117385.0234375, 142181.03125, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1273798644542694, 380.0, 0.0, 0.0, 0.0
20543, 0.002901267260313034, 0.0025463500060141087, 0.0035886180121451616, 0.004364734515547752, 126800.3203125, 157429.484375, 97242.546875, 117388.0703125, 142178.734375, 103880.390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12727651000022888, 380.0, 0.0, 0.0, 0.0
20563, 0.002914737444370985, 0.002056751400232315, 0.003390946425497532, 0.0016318057896569371, 126805.4296875, 157429.484375, 97243.796875, 117388.7265625, 142191.515625, 103882.4765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12726424634456635, 380.0, 0.0, 0.0, 0.0
20583, 0.0029863689560443163, 0.002082833554595709, 0.003509175730869174, 0.0014503682032227516, 126793.609375, 157429.484375, 97247.8515625, 117385.8828125, 142175.109375, 103877.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12493957579135895, 380.0, 0.0, 0.0, 0.0
20603, 0.0030744122341275215, 0.0021039790008217096, 0.003677855245769024, 0.001062201103195548, 126795.8515625, 157427.53125, 97245.828125, 117389.59375, 142174.640625, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1236424371600151, 377.0, 0.0, 0.0, 0.0
20623, 0.002752749715000391, 0.0020972569473087788, 0.002088976325467229, 0.0005160801811143756, 126793.609375, 157429.484375, 97246.6015625, 117387.203125, 142176.921875, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12507431209087372, 377.0, 0.0, 0.0, 0.0
20643, 0.003115580417215824, 0.0017894336488097906, 0.004223630763590336, -0.0012499806471168995, 126799.3515625, 157431.4375, 97249.8828125, 117386.546875, 142176.453125, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12545984983444214, 377.0, 0.0, 0.0, 0.0
20663, 0.0030903597362339497, 0.002111700363457203, 0.004208741709589958, 0.0011611765949055552, 126795.8515625, 157427.53125, 97239.2578125, 117388.0703125, 142175.59375, 103881.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12673981487751007, 377.0, 0.0, 0.0, 0.0
20683, 0.0018538610311225057, 0.0020951975602656603, -0.001738332910463214, 0.0016536843031644821, 126794.2421875, 157429.484375, 97246.6015625, 117388.7265625, 142176.921875, 103882.4765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1271948367357254, 377.0, 0.0, 0.0, 0.0
20703, 0.002776875626295805, 0.0021078120917081833, 0.002928199013695121, 0.00016463774954900146, 126794.875, 157427.53125, 97240.515625, 117394.6171875, 142181.5, 103884.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1280728280544281, 375.0, 0.0, 0.0, 0.0
20723, 0.0028079808689653873, 0.0021101385354995728, 0.0032928213477134705, 0.0003006499318871647, 126798.0859375, 157429.484375, 97240.515625, 117386.546875, 142179.21875, 103883.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12780341506004333, 375.0, 0.0, 0.0, 0.0
